#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abahan;Abahan;Abahan;Abahan;;Abahan;;;;;;;;;x
b_eleutespontos_2_adj;Eleutespontosian;;eleutespontoser;;;;;;;;;;;x
b_eleutespontos_3;Eleutespontos;Eleutespontos;Eleutespontos;;Eleutespontos;;;;;;;;;x
b_eleutespontos_3_adj;Eleutespontosian;;eleutespontoser;;;;;;;;;;;x
b_eleutespontos_4;Eleutespontos;Eleutespontos;Eleutespontos;;Eleutespontos;;;;;;;;;x
b_eleutespontos_4_adj;Eleutespontosian;;eleutespontoser;;;;;;;;;;;x
b_elja;Elja;Elja;Elja;;Elja;;;;;;;;;x
b_elja_adj;Eljan;;eljer;;;;;;;;;;;x
b_epidoupoli;Epidoupoli;Epidoupoli;Epidoupoli;;Epidoupoli;;;;;;;;;x
b_epidoupoli_adj;Epidoupolian;;epidoupoler;;;;;;;;;;;x
b_erar;Erar;Erar;Erar;;Erar;;;;;;;;;x
b_erar_adj;Erarian;;erarer;;;;;;;;;;;x
b_ercopoli;Ercopoli;Ercopoli;Ercopoli;;Ercopoli;;;;;;;;;x
b_ercopoli_adj;Ercopolian;;ercopoler;;;;;;;;;;;x
b_ercopoli_2;Ercopoli;Ercopoli;Ercopoli;;Ercopoli;;;;;;;;;x
b_ercopoli_2_adj;Ercopolian;;ercopoler;;;;;;;;;;;x
b_ercopoli_3;Ercopoli;Ercopoli;Ercopoli;;Ercopoli;;;;;;;;;x
b_ercopoli_3_adj;Ercopolian;;ercopoler;;;;;;;;;;;x
b_ercopoli_4;Ercopoli;Ercopoli;Ercopoli;;Ercopoli;;;;;;;;;x
b_ercopoli_4_adj;Ercopolian;;ercopoler;;;;;;;;;;;x
b_ercopoli_5;Ercopoli;Ercopoli;Ercopoli;;Ercopoli;;;;;;;;;x
b_ercopoli_5_adj;Ercopolian;;ercopoler;;;;;;;;;;;x
b_esmeria;Esmeria;Esmeria;Esmeria;;Esmeria;;;;;;;;;x
b_esmeria_adj;Esmerian;;esmerer;;;;;;;;;;;x
b_espiraes;Espiraes;Espiraes;Espiraes;;Espiraes;;;;;;;;;x
b_espiraes_adj;Espiraesian;;espiraeser;;;;;;;;;;;x
b_ezzahtour;Ezzahtour;Ezzahtour;Ezzahtour;;Ezzahtour;;;;;;;;;x
b_ezzahtour_adj;Ezzahtourian;;ezzahtourer;;;;;;;;;;;x
b_ezzahtour_2;Ezzahtour;Ezzahtour;Ezzahtour;;Ezzahtour;;;;;;;;;x
b_ezzahtour_2_adj;Ezzahtourian;;ezzahtourer;;;;;;;;;;;x
b_ezzahtour_3;Ezzahtour;Ezzahtour;Ezzahtour;;Ezzahtour;;;;;;;;;x
b_ezzahtour_3_adj;Ezzahtourian;;ezzahtourer;;;;;;;;;;;x
b_ezzahtour_4;Ezzahtour;Ezzahtour;Ezzahtour;;Ezzahtour;;;;;;;;;x
b_ezzahtour_4_adj;Ezzahtourian;;ezzahtourer;;;;;;;;;;;x
b_ezzahtour_5;Ezzahtour;Ezzahtour;Ezzahtour;;Ezzahtour;;;;;;;;;x
b_ezzahtour_5_adj;Ezzahtourian;;ezzahtourer;;;;;;;;;;;x
b_ezzahtour_6;Ezzahtour;Ezzahtour;Ezzahtour;;Ezzahtour;;;;;;;;;x
b_ezzahtour_6_adj;Ezzahtourian;;ezzahtourer;;;;;;;;;;;x
b_fanoos;Fanoos;Fanoos;Fanoos;;Fanoos;;;;;;;;;x
b_fanoos_adj;Fanoosian;;fanooser;;;;;;;;;;;x
b_faquiya;Faquiya;Faquiya;Faquiya;;Faquiya;;;;;;;;;x
b_faquiya_adj;Faquiyan;;faquer;;;;;;;;;;;x
b_farrati;Farrati;Farrati;Farrati;;Farrati;;;;;;;;;x
b_farrati_adj;Farratian;;farrater;;;;;;;;;;;x
b_farrati_2;Farrati;Farrati;Farrati;;Farrati;;;;;;;;;x
b_farrati_2_adj;Farratian;;farrater;;;;;;;;;;;x
b_farrati_3;Farrati;Farrati;Farrati;;Farrati;;;;;;;;;x
b_farrati_3_adj;Farratian;;farrater;;;;;;;;;;;x
b_farrati_4;Farrati;Farrati;Farrati;;Farrati;;;;;;;;;x
b_farrati_4_adj;Farratian;;farrater;;;;;;;;;;;x
b_fedanin;Fedanin;Fedanin;Fedanin;;Fedanin;;;;;;;;;x
b_fedanin_adj;Fedaninian;;fedaniner;;;;;;;;;;;x
b_fedanin_2;Fedanin;Fedanin;Fedanin;;Fedanin;;;;;;;;;x
b_fedanin_2_adj;Fedaninian;;fedaniner;;;;;;;;;;;x
b_fernarouj;Fernarouj;Fernarouj;Fernarouj;;Fernarouj;;;;;;;;;x
b_fernarouj_adj;Fernaroujian;;fernaroujer;;;;;;;;;;;x
b_fernarouj_2;Fernarouj;Fernarouj;Fernarouj;;Fernarouj;;;;;;;;;x
b_fernarouj_2_adj;Fernaroujian;;fernaroujer;;;;;;;;;;;x
b_fernarouj_3;Fernarouj;Fernarouj;Fernarouj;;Fernarouj;;;;;;;;;x
b_fernarouj_3_adj;Fernaroujian;;fernaroujer;;;;;;;;;;;x
b_fernarouj_4;Fernarouj;Fernarouj;Fernarouj;;Fernarouj;;;;;;;;;x
b_fernarouj_4_adj;Fernaroujian;;fernaroujer;;;;;;;;;;;x
b_fretel;Fretel;Fretel;Fretel;;Fretel;;;;;;;;;x
b_fretel_adj;Fretelian;;freteler;;;;;;;;;;;x
b_gajo;Gajo;Gajo;Gajo;;Gajo;;;;;;;;;x
b_gajo_adj;Gajian;;gajer;;;;;;;;;;;x
b_galinya;Galinya;Galinya;Galinya;;Galinya;;;;;;;;;x
b_galinya_adj;Galinyan;;galiner;;;;;;;;;;;x
b_galtsiya;Galtsiya;Galtsiya;Galtsiya;;Galtsiya;;;;;;;;;x
b_galtsiya_adj;Galtsiyan;;galtser;;;;;;;;;;;x
b_gbesina;Gbesina;Gbesina;Gbesina;;Gbesina;;;;;;;;;x
b_gbesina_adj;Gbesinan;;gbesiner;;;;;;;;;;;x
b_geresaray;Geresaray;Geresaray;Geresaray;;Geresaray;;;;;;;;;x
b_geresaray_adj;Geresaraian;;geresaraer;;;;;;;;;;;x
b_getica;Getica;Getica;Getica;;Getica;;;;;;;;;x
b_getica_adj;Getican;;geticer;;;;;;;;;;;x
b_ghaliha;Ghaliha;Ghaliha;Ghaliha;;Ghaliha;;;;;;;;;x
b_ghaliha_adj;Ghalihan;;ghaliher;;;;;;;;;;;x
b_gilan;Gilan;Gilan;Gilan;;Gilan;;;;;;;;;x
b_gilan_adj;Gilanian;;gilaner;;;;;;;;;;;x
b_girodura;Girodura;Girodura;Girodura;;Girodura;;;;;;;;;x
b_girodura_adj;Giroduran;;girodurer;;;;;;;;;;;x
b_girodura_2;Girodura;Girodura;Girodura;;Girodura;;;;;;;;;x
b_girodura_2_adj;Giroduran;;girodurer;;;;;;;;;;;x
b_girodura_3;Girodura;Girodura;Girodura;;Girodura;;;;;;;;;x
b_girodura_3_adj;Giroduran;;girodurer;;;;;;;;;;;x
b_girodura_4;Girodura;Girodura;Girodura;;Girodura;;;;;;;;;x
b_girodura_4_adj;Giroduran;;girodurer;;;;;;;;;;;x
b_girostile;Girostile;Girostile;Girostile;;Girostile;;;;;;;;;x
b_girostile_adj;Girostilean;;girostiler;;;;;;;;;;;x
b_girostile_2;Girostile;Girostile;Girostile;;Girostile;;;;;;;;;x
b_girostile_2_adj;Girostilean;;girostiler;;;;;;;;;;;x
b_girostile_3;Girostile;Girostile;Girostile;;Girostile;;;;;;;;;x
b_girostile_3_adj;Girostilean;;girostiler;;;;;;;;;;;x
b_girostile_4;Girostile;Girostile;Girostile;;Girostile;;;;;;;;;x
b_girostile_4_adj;Girostilean;;girostiler;;;;;;;;;;;x
b_girostile_5;Girostile;Girostile;Girostile;;Girostile;;;;;;;;;x
b_girostile_5_adj;Girostilean;;girostiler;;;;;;;;;;;x
b_gokotton;Gokotton;Gokotton;Gokotton;;Gokotton;;;;;;;;;x
b_gokotton_adj;Gokottonian;;gokottoner;;;;;;;;;;;x
b_gokotton_2;Gokotton;Gokotton;Gokotton;;Gokotton;;;;;;;;;x
b_gokotton_2_adj;Gokottonian;;gokottoner;;;;;;;;;;;x
b_gokotton_3;Gokotton;Gokotton;Gokotton;;Gokotton;;;;;;;;;x
b_gokotton_3_adj;Gokottonian;;gokottoner;;;;;;;;;;;x
b_gokotton_4;Gokotton;Gokotton;Gokotton;;Gokotton;;;;;;;;;x
b_gokotton_4_adj;Gokottonian;;gokottoner;;;;;;;;;;;x
b_golbahan;Golbahan;Golbahan;Golbahan;;Golbahan;;;;;;;;;x
b_golbahan_adj;Golbahanian;;golbahaner;;;;;;;;;;;x
b_golbahan_2;Golbahan;Golbahan;Golbahan;;Golbahan;;;;;;;;;x
b_golbahan_2_adj;Golbahanian;;golbahaner;;;;;;;;;;;x
b_golbahan_3;Golbahan;Golbahan;Golbahan;;Golbahan;;;;;;;;;x
b_golbahan_3_adj;Golbahanian;;golbahaner;;;;;;;;;;;x
b_golbahan_4;Golbahan;Golbahan;Golbahan;;Golbahan;;;;;;;;;x
b_golbahan_4_adj;Golbahanian;;golbahaner;;;;;;;;;;;x
b_golbahan_5;Golbahan;Golbahan;Golbahan;;Golbahan;;;;;;;;;x
b_golbahan_5_adj;Golbahanian;;golbahaner;;;;;;;;;;;x
b_golgopeion;Golgopeion;Golgopeion;Golgopeion;;Golgopeion;;;;;;;;;x
b_golgopeion_adj;Golgopeionian;;golgopeioner;;;;;;;;;;;x
b_gorencik;Gorencik;Gorencik;Gorencik;;Gorencik;;;;;;;;;x
b_gorencik_adj;Gorencikian;;gorenciker;;;;;;;;;;;x
b_gorerasi;Gorerasi;Gorerasi;Gorerasi;;Gorerasi;;;;;;;;;x
b_gorerasi_adj;Gorerasian;;goreraser;;;;;;;;;;;x
b_gorgodia;Gorgodia;Gorgodia;Gorgodia;;Gorgodia;;;;;;;;;x
b_gorgodia_adj;Gorgodian;;gorgoder;;;;;;;;;;;x
b_gournoinon;Gournoinon;Gournoinon;Gournoinon;;Gournoinon;;;;;;;;;x
b_gournoinon_adj;Gournoinonian;;gournoinoner;;;;;;;;;;;x
b_gouththas;Gouththas;Gouththas;Gouththas;;Gouththas;;;;;;;;;x
b_gouththas_adj;Gouththasian;;gouththaser;;;;;;;;;;;x
b_gredeia;Gredeia;Gredeia;Gredeia;;Gredeia;;;;;;;;;x
b_gredeia_adj;Gredeian;;greder;;;;;;;;;;;x
b_guemaret;Guemaret;Guemaret;Guemaret;;Guemaret;;;;;;;;;x
b_guemaret_adj;Guemaretian;;guemareter;;;;;;;;;;;x
b_gunidis;Gunidis;Gunidis;Gunidis;;Gunidis;;;;;;;;;x
b_gunidis_adj;Gunidisian;;gunidiser;;;;;;;;;;;x
b_guzepinari;Guzepinari;Guzepinari;Guzepinari;;Guzepinari;;;;;;;;;x
b_guzepinari_adj;Guzepinarian;;guzepinarer;;;;;;;;;;;x
b_guzepinari_2;Guzepinari;Guzepinari;Guzepinari;;Guzepinari;;;;;;;;;x
b_guzepinari_2_adj;Guzepinarian;;guzepinarer;;;;;;;;;;;x
b_guzepinari_3;Guzepinari;Guzepinari;Guzepinari;;Guzepinari;;;;;;;;;x
b_guzepinari_3_adj;Guzepinarian;;guzepinarer;;;;;;;;;;;x
b_guzepinari_4;Guzepinari;Guzepinari;Guzepinari;;Guzepinari;;;;;;;;;x
b_guzepinari_4_adj;Guzepinarian;;guzepinarer;;;;;;;;;;;x
b_guzepinari_5;Guzepinari;Guzepinari;Guzepinari;;Guzepinari;;;;;;;;;x
b_guzepinari_5_adj;Guzepinarian;;guzepinarer;;;;;;;;;;;x
b_guzler;Guzler;Guzler;Guzler;;Guzler;;;;;;;;;x
b_guzler_adj;Guzlerian;;guzlerer;;;;;;;;;;;x
b_hadari;Hadari;Hadari;Hadari;;Hadari;;;;;;;;;x
b_hadari_adj;Hadarian;;hadarer;;;;;;;;;;;x
b_haiqban;Haiqban;Haiqban;Haiqban;;Haiqban;;;;;;;;;x
b_haiqban_adj;Haiqbanian;;haiqbaner;;;;;;;;;;;x
b_halina;Halina;Halina;Halina;;Halina;;;;;;;;;x
b_halina_adj;Halinan;;haliner;;;;;;;;;;;x
b_hamitina;Hamitina;Hamitina;Hamitina;;Hamitina;;;;;;;;;x
b_hamitina_adj;Hamitinan;;hamitiner;;;;;;;;;;;x
b_handve;Handve;Handve;Handve;;Handve;;;;;;;;;x
b_handve_adj;Handvean;;handver;;;;;;;;;;;x
b_hieralos;Hieralos;Hieralos;Hieralos;;Hieralos;;;;;;;;;x
b_hieralos_adj;Hieralosian;;hieraloser;;;;;;;;;;;x
b_hieralos_2;Hieralos;Hieralos;Hieralos;;Hieralos;;;;;;;;;x
b_hieralos_2_adj;Hieralosian;;hieraloser;;;;;;;;;;;x
b_hieralos_3;Hieralos;Hieralos;Hieralos;;Hieralos;;;;;;;;;x
b_hieralos_3_adj;Hieralosian;;hieraloser;;;;;;;;;;;x
b_hieralos_4;Hieralos;Hieralos;Hieralos;;Hieralos;;;;;;;;;x
b_hieralos_4_adj;Hieralosian;;hieraloser;;;;;;;;;;;x
b_hieralos_5;Hieralos;Hieralos;Hieralos;;Hieralos;;;;;;;;;x
b_hieralos_5_adj;Hieralosian;;hieraloser;;;;;;;;;;;x
b_hiererma;Hiererma;Hiererma;Hiererma;;Hiererma;;;;;;;;;x
b_hiererma_adj;Hiererman;;hierermer;;;;;;;;;;;x
b_hiererma_2;Hiererma;Hiererma;Hiererma;;Hiererma;;;;;;;;;x
b_hiererma_2_adj;Hiererman;;hierermer;;;;;;;;;;;x
b_hiererma_3;Hiererma;Hiererma;Hiererma;;Hiererma;;;;;;;;;x
b_hiererma_3_adj;Hiererman;;hierermer;;;;;;;;;;;x
b_hiererma_4;Hiererma;Hiererma;Hiererma;;Hiererma;;;;;;;;;x
b_hiererma_4_adj;Hiererman;;hierermer;;;;;;;;;;;x
b_hiererma_5;Hiererma;Hiererma;Hiererma;;Hiererma;;;;;;;;;x
b_hiererma_5_adj;Hiererman;;hierermer;;;;;;;;;;;x
b_hilartuz;Hilartuz;Hilartuz;Hilartuz;;Hilartuz;;;;;;;;;x
b_hilartuz_adj;Hilartuzian;;hilartuzer;;;;;;;;;;;x
b_hilartuz_2;Hilartuz;Hilartuz;Hilartuz;;Hilartuz;;;;;;;;;x
b_hilartuz_2_adj;Hilartuzian;;hilartuzer;;;;;;;;;;;x
b_hilartuz_3;Hilartuz;Hilartuz;Hilartuz;;Hilartuz;;;;;;;;;x
b_hilartuz_3_adj;Hilartuzian;;hilartuzer;;;;;;;;;;;x
b_hilartuz_4;Hilartuz;Hilartuz;Hilartuz;;Hilartuz;;;;;;;;;x
b_hilartuz_4_adj;Hilartuzian;;hilartuzer;;;;;;;;;;;x
b_hilartuz_5;Hilartuz;Hilartuz;Hilartuz;;Hilartuz;;;;;;;;;x
b_hilartuz_5_adj;Hilartuzian;;hilartuzer;;;;;;;;;;;x
b_hloca;Hloca;Hloca;Hloca;;Hloca;;;;;;;;;x
b_hloca_adj;Hlocan;;hlocer;;;;;;;;;;;x
b_hovsep;Hovsep;Hovsep;Hovsep;;Hovsep;;;;;;;;;x
b_hovsep_adj;Hovsepian;;hovseper;;;;;;;;;;;x
b_hyblos;Hyblos;Hyblos;Hyblos;;Hyblos;;;;;;;;;x
b_hyblos_adj;Hyblosian;;hybloser;;;;;;;;;;;x
b_hyblos_2;Hyblos;Hyblos;Hyblos;;Hyblos;;;;;;;;;x
b_hyblos_2_adj;Hyblosian;;hybloser;;;;;;;;;;;x
b_hyblos_3;Hyblos;Hyblos;Hyblos;;Hyblos;;;;;;;;;x
b_hyblos_3_adj;Hyblosian;;hybloser;;;;;;;;;;;x
b_hyblos_4;Hyblos;Hyblos;Hyblos;;Hyblos;;;;;;;;;x
b_hyblos_4_adj;Hyblosian;;hybloser;;;;;;;;;;;x
b_iasox;Iasox;Iasox;Iasox;;Iasox;;;;;;;;;x
b_iasox_adj;Iasoxian;;iasoxer;;;;;;;;;;;x
b_iasox_2;Iasox;Iasox;Iasox;;Iasox;;;;;;;;;x
b_iasox_2_adj;Iasoxian;;iasoxer;;;;;;;;;;;x
b_iasox_3;Iasox;Iasox;Iasox;;Iasox;;;;;;;;;x
b_iasox_3_adj;Iasoxian;;iasoxer;;;;;;;;;;;x
b_iasox_4;Iasox;Iasox;Iasox;;Iasox;;;;;;;;;x
b_iasox_4_adj;Iasoxian;;iasoxer;;;;;;;;;;;x
b_iasox_5;Iasox;Iasox;Iasox;;Iasox;;;;;;;;;x
b_iasox_5_adj;Iasoxian;;iasoxer;;;;;;;;;;;x
b_iasox_6;Iasox;Iasox;Iasox;;Iasox;;;;;;;;;x
b_iasox_6_adj;Iasoxian;;iasoxer;;;;;;;;;;;x
b_iasyma;Iasyma;Iasyma;Iasyma;;Iasyma;;;;;;;;;x
b_iasyma_adj;Iasyman;;iasymer;;;;;;;;;;;x
b_iasynthos;Iasynthos;Iasynthos;Iasynthos;;Iasynthos;;;;;;;;;x
b_iasynthos_adj;Iasynthosian;;iasynthoser;;;;;;;;;;;x
b_iasynthos_2;Iasynthos;Iasynthos;Iasynthos;;Iasynthos;;;;;;;;;x
b_iasynthos_2_adj;Iasynthosian;;iasynthoser;;;;;;;;;;;x
b_iasynthos_3;Iasynthos;Iasynthos;Iasynthos;;Iasynthos;;;;;;;;;x
b_iasynthos_3_adj;Iasynthosian;;iasynthoser;;;;;;;;;;;x
b_ifrale;Ifrale;Ifrale;Ifrale;;Ifrale;;;;;;;;;x
b_ifrale_adj;Ifralean;;ifraler;;;;;;;;;;;x
b_ifrale_2;Ifrale;Ifrale;Ifrale;;Ifrale;;;;;;;;;x
b_ifrale_2_adj;Ifralean;;ifraler;;;;;;;;;;;x
b_igemelli;Igemelli;Igemelli;Igemelli;;Igemelli;;;;;;;;;x
b_igemelli_adj;Igemellian;;igemeller;;;;;;;;;;;x
b_igemelli_2;Igemelli;Igemelli;Igemelli;;Igemelli;;;;;;;;;x
b_igemelli_2_adj;Igemellian;;igemeller;;;;;;;;;;;x
b_igemelli_3;Igemelli;Igemelli;Igemelli;;Igemelli;;;;;;;;;x
b_igemelli_3_adj;Igemellian;;igemeller;;;;;;;;;;;x
b_igemelli_4;Igemelli;Igemelli;Igemelli;;Igemelli;;;;;;;;;x
b_igemelli_4_adj;Igemellian;;igemeller;;;;;;;;;;;x
b_igitya;Igitya;Igitya;Igitya;;Igitya;;;;;;;;;x
b_igitya_adj;Igityan;;igiter;;;;;;;;;;;x
b_ilimit;Ilimit;Ilimit;Ilimit;;Ilimit;;;;;;;;;x
b_ilimit_adj;Ilimitian;;ilimiter;;;;;;;;;;;x
b_ilinbeyli;Ilinbeyli;Ilinbeyli;Ilinbeyli;;Ilinbeyli;;;;;;;;;x
b_ilinbeyli_adj;Ilinbeylian;;ilinbeyler;;;;;;;;;;;x
b_ilinbeyli_2;Ilinbeyli;Ilinbeyli;Ilinbeyli;;Ilinbeyli;;;;;;;;;x
b_ilinbeyli_2_adj;Ilinbeylian;;ilinbeyler;;;;;;;;;;;x
b_ilinbeyli_3;Ilinbeyli;Ilinbeyli;Ilinbeyli;;Ilinbeyli;;;;;;;;;x
b_ilinbeyli_3_adj;Ilinbeylian;;ilinbeyler;;;;;;;;;;;x
b_ilinbeyli_4;Ilinbeyli;Ilinbeyli;Ilinbeyli;;Ilinbeyli;;;;;;;;;x
b_ilinbeyli_4_adj;Ilinbeylian;;ilinbeyler;;;;;;;;;;;x
b_ilinbeyli_5;Ilinbeyli;Ilinbeyli;Ilinbeyli;;Ilinbeyli;;;;;;;;;x
b_ilinbeyli_5_adj;Ilinbeylian;;ilinbeyler;;;;;;;;;;;x
b_illici;Illici;Illici;Illici;;Illici;;;;;;;;;x
b_illici_adj;Illician;;illicer;;;;;;;;;;;x
b_illici_2;Illici;Illici;Illici;;Illici;;;;;;;;;x
b_illici_2_adj;Illician;;illicer;;;;;;;;;;;x
b_illici_3;Illici;Illici;Illici;;Illici;;;;;;;;;x
b_illici_3_adj;Illician;;illicer;;;;;;;;;;;x
b_illici_4;Illici;Illici;Illici;;Illici;;;;;;;;;x
b_illici_4_adj;Illician;;illicer;;;;;;;;;;;x
b_ishkhan;Ishkhan;Ishkhan;Ishkhan;;Ishkhan;;;;;;;;;x
b_ishkhan_adj;Ishkhanian;;ishkhaner;;;;;;;;;;;x
b_iskaysab;Iskaysab;Iskaysab;Iskaysab;;Iskaysab;;;;;;;;;x
b_iskaysab_adj;Iskaysabian;;iskaysaber;;;;;;;;;;;x
b_israrta;Israrta;Israrta;Israrta;;Israrta;;;;;;;;;x
b_israrta_adj;Isrartan;;israrter;;;;;;;;;;;x
b_jaha;Jaha;Jaha;Jaha;;Jaha;;;;;;;;;x
b_jaha_adj;Jahan;;jaher;;;;;;;;;;;x
b_jaha_2;Jaha;Jaha;Jaha;;Jaha;;;;;;;;;x
b_jaha_2_adj;Jahan;;jaher;;;;;;;;;;;x
b_jaha_3;Jaha;Jaha;Jaha;;Jaha;;;;;;;;;x
b_jaha_3_adj;Jahan;;jaher;;;;;;;;;;;x
b_jaset;Jaset;Jaset;Jaset;;Jaset;;;;;;;;;x
b_jaset_adj;Jasetian;;jaseter;;;;;;;;;;;x
b_jaset_2;Jaset;Jaset;Jaset;;Jaset;;;;;;;;;x
b_jaset_2_adj;Jasetian;;jaseter;;;;;;;;;;;x
b_jaset_3;Jaset;Jaset;Jaset;;Jaset;;;;;;;;;x
b_jaset_3_adj;Jasetian;;jaseter;;;;;;;;;;;x
b_jirost;Jirost;Jirost;Jirost;;Jirost;;;;;;;;;x
b_jirost_adj;Jirostian;;jiroster;;;;;;;;;;;x
b_jirost_2;Jirost;Jirost;Jirost;;Jirost;;;;;;;;;x
b_jirost_2_adj;Jirostian;;jiroster;;;;;;;;;;;x
b_jirost_3;Jirost;Jirost;Jirost;;Jirost;;;;;;;;;x
b_jirost_3_adj;Jirostian;;jiroster;;;;;;;;;;;x
b_jirost_4;Jirost;Jirost;Jirost;;Jirost;;;;;;;;;x
b_jirost_4_adj;Jirostian;;jiroster;;;;;;;;;;;x
b_joroltan;Joroltan;Joroltan;Joroltan;;Joroltan;;;;;;;;;x
b_joroltan_adj;Joroltanian;;joroltaner;;;;;;;;;;;x
b_joroltan_2;Joroltan;Joroltan;Joroltan;;Joroltan;;;;;;;;;x
b_joroltan_2_adj;Joroltanian;;joroltaner;;;;;;;;;;;x
b_joroltan_3;Joroltan;Joroltan;Joroltan;;Joroltan;;;;;;;;;x
b_joroltan_3_adj;Joroltanian;;joroltaner;;;;;;;;;;;x
b_kadulaib;Kadulaib;Kadulaib;Kadulaib;;Kadulaib;;;;;;;;;x
b_kadulaib_adj;Kadulaibian;;kadulaiber;;;;;;;;;;;x
b_kadulaib_2;Kadulaib;Kadulaib;Kadulaib;;Kadulaib;;;;;;;;;x
b_kadulaib_2_adj;Kadulaibian;;kadulaiber;;;;;;;;;;;x
b_kadulaib_3;Kadulaib;Kadulaib;Kadulaib;;Kadulaib;;;;;;;;;x
b_kadulaib_3_adj;Kadulaibian;;kadulaiber;;;;;;;;;;;x
b_kadulaib_4;Kadulaib;Kadulaib;Kadulaib;;Kadulaib;;;;;;;;;x
b_kadulaib_4_adj;Kadulaibian;;kadulaiber;;;;;;;;;;;x
b_kadulaib_5;Kadulaib;Kadulaib;Kadulaib;;Kadulaib;;;;;;;;;x
b_kadulaib_5_adj;Kadulaibian;;kadulaiber;;;;;;;;;;;x
b_kahnulam;Kahnulam;Kahnulam;Kahnulam;;Kahnulam;;;;;;;;;x
b_kahnulam_adj;Kahnulamian;;kahnulamer;;;;;;;;;;;x
b_kamarous;Kamarous;Kamarous;Kamarous;;Kamarous;;;;;;;;;x
b_kamarous_adj;Kamarousian;;kamarouser;;;;;;;;;;;x
b_karis;Karis;Karis;Karis;;Karis;;;;;;;;;x
b_karis_adj;Karisian;;kariser;;;;;;;;;;;x
b_karkenai;Karkenai;Karkenai;Karkenai;;Karkenai;;;;;;;;;x
b_karkenai_adj;Karkenian;;karkener;;;;;;;;;;;x
b_kasbir;Kasbir;Kasbir;Kasbir;;Kasbir;;;;;;;;;x
b_kasbir_adj;Kasbirian;;kasbirer;;;;;;;;;;;x
b_kasbir_2;Kasbir;Kasbir;Kasbir;;Kasbir;;;;;;;;;x
b_kasbir_2_adj;Kasbirian;;kasbirer;;;;;;;;;;;x
b_kasbir_3;Kasbir;Kasbir;Kasbir;;Kasbir;;;;;;;;;x
b_kasbir_3_adj;Kasbirian;;kasbirer;;;;;;;;;;;x
b_kasbir_4;Kasbir;Kasbir;Kasbir;;Kasbir;;;;;;;;;x
b_kasbir_4_adj;Kasbirian;;kasbirer;;;;;;;;;;;x
b_kasbir_5;Kasbir;Kasbir;Kasbir;;Kasbir;;;;;;;;;x
b_kasbir_5_adj;Kasbirian;;kasbirer;;;;;;;;;;;x
b_kasbir_6;Kasbir;Kasbir;Kasbir;;Kasbir;;;;;;;;;x
b_kasbir_6_adj;Kasbirian;;kasbirer;;;;;;;;;;;x
b_kastiid;Kastiid;Kastiid;Kastiid;;Kastiid;;;;;;;;;x
b_kastiid_adj;Kastiidian;;kastiider;;;;;;;;;;;x
b_kazen;Kazen;Kazen;Kazen;;Kazen;;;;;;;;;x
b_kazen_adj;Kazenian;;kazener;;;;;;;;;;;x
b_kedska;Kedska;Kedska;Kedska;;Kedska;;;;;;;;;x
b_kedska_adj;Kedskan;;kedsker;;;;;;;;;;;x
b_kerkeion;Kerkeion;Kerkeion;Kerkeion;;Kerkeion;;;;;;;;;x
b_kerkeion_adj;Kerkeionian;;kerkeioner;;;;;;;;;;;x
b_khalil;Khalil;Khalil;Khalil;;Khalil;;;;;;;;;x
b_khalil_adj;Khalilian;;khaliler;;;;;;;;;;;x
b_khalil_2;Khalil;Khalil;Khalil;;Khalil;;;;;;;;;x
b_khalil_2_adj;Khalilian;;khaliler;;;;;;;;;;;x
b_khalil_3;Khalil;Khalil;Khalil;;Khalil;;;;;;;;;x
b_khalil_3_adj;Khalilian;;khaliler;;;;;;;;;;;x
b_khalil_4;Khalil;Khalil;Khalil;;Khalil;;;;;;;;;x
b_khalil_4_adj;Khalilian;;khaliler;;;;;;;;;;;x
b_khalil_5;Khalil;Khalil;Khalil;;Khalil;;;;;;;;;x
b_khalil_5_adj;Khalilian;;khaliler;;;;;;;;;;;x
b_khrouliana;Khrouliana;Khrouliana;Khrouliana;;Khrouliana;;;;;;;;;x
b_khrouliana_adj;Khroulianan;;khroulianer;;;;;;;;;;;x
b_khrouliana_2;Khrouliana;Khrouliana;Khrouliana;;Khrouliana;;;;;;;;;x
b_khrouliana_2_adj;Khroulianan;;khroulianer;;;;;;;;;;;x
b_khrouliana_3;Khrouliana;Khrouliana;Khrouliana;;Khrouliana;;;;;;;;;x
b_khrouliana_3_adj;Khroulianan;;khroulianer;;;;;;;;;;;x
b_khrouliana_4;Khrouliana;Khrouliana;Khrouliana;;Khrouliana;;;;;;;;;x
b_khrouliana_4_adj;Khroulianan;;khroulianer;;;;;;;;;;;x
b_khrouliana_5;Khrouliana;Khrouliana;Khrouliana;;Khrouliana;;;;;;;;;x
b_khrouliana_5_adj;Khroulianan;;khroulianer;;;;;;;;;;;x
b_kocharia;Kocharia;Kocharia;Kocharia;;Kocharia;;;;;;;;;x
b_kocharia_adj;Kocharian;;kocharer;;;;;;;;;;;x
b_komaszice;Komaszice;Komaszice;Komaszice;;Komaszice;;;;;;;;;x
b_komaszice_adj;Komaszicean;;komaszicer;;;;;;;;;;;x
b_konuculha;Konuculha;Konuculha;Konuculha;;Konuculha;;;;;;;;;x
b_konuculha_adj;Konuculhan;;konuculher;;;;;;;;;;;x
